Condition	Freqs	Knowledge	log_RTs	Idiom	Subject	LP	Transparency
Fig	2.49	6	6.2952660014	één lijn trekken	2	4.73	2.88
Lit	2.43	6	6.280395839	één lijn trekken	2	4.73	2.88
Fig	2.25	5	6.907755279	aan een zijden draadje hangen	2	3.73	3.14
Lit	2.47	5	6.2480428745	aan een zijden draadje hangen	2	3.73	3.14
Fig	3.45	5	6.3403593037	aan het roer staan	2	4.73	4.6
Lit	3.7	5	6.3403593037	aan het roer staan	2	4.73	4.6
Lit	2.96	7	6.1984787165	als paddenstoelen uit de grond schieten	2	2.27	3.29
Fig	2.66	7	5.926926026	als paddenstoelen uit de grond schieten	2	2.27	3.29
Fig	2.28	7	6.0330862218	de koe bij de hoorns vatten	2	4.05	3.17
Lit	3.04	7	6.1092475828	de koe bij de hoorns vatten	2	4.05	3.17
Fig	2.93	6	6.2633982626	ergens mee in de maag zitten	2	2.86	2.95
Fig	2.13	2	6.3543700408	ergens zijn neus voor optrekken	2	4.23	3.33
Lit	2.22	2	6.5147126909	ergens zijn neus voor optrekken	2	4.23	3.33
Fig	3.58	7	6.280395839	het niet breed hebben	2	1.95	3.24
Lit	2.42	7	6.4645883037	het niet breed hebben	2	1.95	3.24
Fig	3.81	6	6.2952660014	iemand aan de tand voelen	2	4.45	2.83
Fig	2.73	6	6.1984787165	iemand de wet voorschrijven	2	3.68	3.67
Lit	2.75	6	6.4248690239	iemand de wet voorschrijven	2	3.68	3.67
Fig	1.81	6	6.2480428745	iemand iets in de schoenen schuiven	2	4.05	3.09
Fig	2.68	5	6.0520891689	iemand op de huid zitten	2	3.05	3.38
Lit	2.6	5	6.0112671744	iemand op de huid zitten	2	3.05	3.38
Lit	2.14	5	6.1092475828	iemand tegen de schenen schoppen	2	4.73	3.71
Fig	2.7	5	6.280395839	iemand tegen de schenen schoppen	2	4.73	3.71
Lit	2.7	5	6.4118182677	iemand wakker schudden	2	4.77	3.43
Fig	3.81	5	6.4118182677	iemand wakker schudden	2	4.77	3.43
Lit	2.1	5	6.1463292577	iemand/iets tot in de wolken verheffen	2	1.82	3.75
Fig	2.68	5	6.1820849067	iemand/iets tot in de wolken verheffen	2	1.82	3.75
Lit	1.93	6	6.7742238864	iets op poten zetten	2	4	3.38
Fig	2.39	6	5.9914645471	iets op poten zetten	2	4	3.38
Lit	2.55	5	6.0913098821	iets uit de losse pols doen	2	2.27	3.13
Fig	2.53	5	6.0913098821	iets uit de losse pols doen	2	2.27	3.13
Fig	2.81	7	6.0520891689	iets uit je duim zuigen	2	1.95	3.21
Lit	2.4	7	6.1820849067	iets uit je duim zuigen	2	1.95	3.21
Fig	2.26	4	6.1820849067	iets van tafel vegen	2	4.73	3.38
Lit	2.15	4	6.1984787165	iets van tafel vegen	2	4.73	3.38
Fig	3.28	7	6.1290502101	met de rug tegen de muur staan	2	4.81818	3.24
Lit	2.65	7	6.163314804	met de rug tegen de muur staan	2	4.81818	3.24
Lit	1.95	6	6.0913098821	op het puntje van de tong liggen	2	3.05	3.52
Fig	3.51	6	6.3699009828	op het puntje van de tong liggen	2	3.05	3.52
Lit	2.07	2	6.551080335	op zijn achterste benen staan	2	2.86	2.62
Fig	2.55	2	6.0913098821	op zijn achterste benen staan	2	2.86	2.62
Lit	3.05	7	6.0330862218	op zijn centen zitten	2	4.68	3.71
Fig	2.23	7	6.1984787165	op zijn centen zitten	2	4.68	3.71
Fig	3.36	7	5.926926026	voor aap staan	2	2.045454545	3.22
Lit	2.76	7	6.2146080984	voor aap staan	2	2.045454545	3.22
Fig	3.02	7	6.1984787165	voor iemand door het vuur gaan	2	3.91	4.18
Lit	1.9	7	6.2480428745	voor iemand door het vuur gaan	2	3.91	4.18
Fig	2.49	4	6.2146080984	één lijn trekken	3	4.73	2.88
Lit	2.43	4	6.6528630294	één lijn trekken	3	4.73	2.88
Fig	2.25	1	6.163314804	aan een zijden draadje hangen	3	3.73	3.14
Lit	2.47	1	6.0112671744	aan een zijden draadje hangen	3	3.73	3.14
Fig	3.45	6	6.163314804	aan het roer staan	3	4.73	4.6
Lit	3.7	6	5.9712618398	aan het roer staan	3	4.73	4.6
Lit	2.96	7	6.3835066349	als paddenstoelen uit de grond schieten	3	2.27	3.29
Fig	2.66	7	6.0913098821	als paddenstoelen uit de grond schieten	3	2.27	3.29
Fig	2.28	4	6.2146080984	de koe bij de hoorns vatten	3	4.05	3.17
Lit	3.04	4	6.3403593037	de koe bij de hoorns vatten	3	4.05	3.17
Fig	2.93	6	6.1290502101	ergens mee in de maag zitten	3	2.86	2.95
Fig	2.13	7	6.2324480166	ergens zijn neus voor optrekken	3	4.23	3.33
Lit	2.22	7	6.0730445341	ergens zijn neus voor optrekken	3	4.23	3.33
Fig	3.58	7	6.1984787165	het niet breed hebben	3	1.95	3.24
Lit	2.42	7	6.3835066349	het niet breed hebben	3	1.95	3.24
Fig	3.81	6	6.0520891689	iemand aan de tand voelen	3	4.45	2.83
Fig	2.73	6	6.1092475828	iemand de wet voorschrijven	3	3.68	3.67
Lit	2.75	6	6.4520489544	iemand de wet voorschrijven	3	3.68	3.67
Fig	1.81	6	6.2952660014	iemand iets in de schoenen schuiven	3	4.05	3.09
Fig	2.68	5	6.3099182782	iemand op de huid zitten	3	3.05	3.38
Lit	2.6	5	6.0330862218	iemand op de huid zitten	3	3.05	3.38
Lit	2.14	6	6.7357800142	iemand tegen de schenen schoppen	3	4.73	3.71
Fig	2.7	6	6.2480428745	iemand tegen de schenen schoppen	3	4.73	3.71
Lit	2.7	5	6.2480428745	iemand wakker schudden	3	4.77	3.43
Fig	3.81	5	6.2633982626	iemand wakker schudden	3	4.77	3.43
Lit	2.1	7	6.1984787165	iemand/iets tot in de wolken verheffen	3	1.82	3.75
Fig	2.68	7	6.1820849067	iemand/iets tot in de wolken verheffen	3	1.82	3.75
Lit	1.93	7	6.6093492432	iets op poten zetten	3	4	3.38
Fig	2.39	7	6.1092475828	iets op poten zetten	3	4	3.38
Lit	2.55	5	5.9053618481	iets uit de losse pols doen	3	2.27	3.13
Fig	2.53	5	6.2952660014	iets uit de losse pols doen	3	2.27	3.13
Fig	2.81	7	6.0520891689	iets uit je duim zuigen	3	1.95	3.21
Lit	2.4	7	6.2952660014	iets uit je duim zuigen	3	1.95	3.21
